appraiser_name,study_id,paper_title,start_time,item_1,item_1_comment,item_2,item_2_comment,item_3,item_3_comment,item_4,item_4_comment,item_5,item_5_comment,item_6,item_6_comment,item_7,item_7_comment,item_8,item_8_comment,item_9,item_9_comment,item_10,item_10_comment,item_11,item_11_comment,item_12,item_12_comment,item_13,item_13_comment,item_14,item_14_comment,overall_comment,finish_time
Harriet Sleight,s_21,Effects of urbanisation on PM2.5 concentrations: A systematic review and meta-analysis,9:12,No,,,No to MATES item 1,Yes,"PRISMA style flow diagram included as Figure 1.  1604 articles screened primarily, 152 articles underwent full-text screening and 52 primary studies included in the meta-analysis.  Exclusion reasons are given. ",No,"Table 6 presents the results of the Egger's test for publication bias with the number of studies given, but I could not find any explicit statements of total number of effect size counts in the manuscript text. The total number of effect sizes could be inferred from counting forest plots in the supplementary. ",Yes,The value of the Fisher's Z transformation was used as the effect size of the observations in this study (Method's section).,Yes,"Multinomial logistic regression is used and is stated in Equations 5, 6 and 7. It is slightly unclear as it states 'MLR is more suitable for further research' implying that it should be used in the future rather than it was used in the present study. ",No,,No,The methods states 'one of more observation values could be derived from each selected paper' but this is not clearly stating the dependence of effect size estimates. ,Yes,Descriptive statistics of the meta-regression model are reported in Table 3,Yes,I^2 and Cochran's Q are presented in Table 5 ,Yes,"Results of publication bias assessment are presented in section 4.3.1, Figure 2 and Table 6",Yes,The results of the sensitivity analysis are presented in section 4.3.2.,No,'Data will be made available on request.',,Table S1 of the supplementary states each paper with the type of urbanisation studied but does not describe the variables extracted.,"Applying MATES to this meta-analysis took over one hour.  This could be because this is the first one I have done so therefore I am still double-checking all the descriptions in the checklist which takes time. However, I found this meta-analysis difficult to apply MATES to as I was unsure whether to answer 'no' or 'not applicable' for some of the questions. ",10:26
Verónica Ferreira,s_21,Effects of urbanisation on PM2.5 concentrations: A systematic review and meta-analysis,16:07,No,Could not find mention of software in the paper of supplementary material,No,Does not report code,Yes,Fig. 1,Yes,"k = 205: '205 observations from 52 studies were selected as the research objects'
We can also count the number of effect sizes in the forest plots shown in the supplementary amterial",Yes,Formulas on page 4,Yes,"random effect model: 'Thus, the investigation should employ the random effect model.'",Yes,"e.g. Table 3, figures in the supplementary material",No,"Could not find explicit statements that mention multiple effects sizes per study (so selected 'No' above), but from the forest plots we can see that a single study contributes multiple effects sizes ",Yes,e.g. Table 3,Yes,"e.g., Table 5, figures in the supplementary material",Yes,e.g. Fig. 2,Yes,"'The sensitivity analysis results showed that the impact of urbanisation
on PM2.5 concentrations is steady, and the outcomes after removing
any estimated value are essentially similar to the initial results (Supplementary
Fig. S.9–16).'",No,no basic data used to estimate Fisher's z are reported,Yes,Table 2,,16:25
Kok Sin Woon,s_21,Effects of urbanisation on PM2.5 concentrations: A systematic review and meta-analysis,10:00,Yes,Stata 16.0 was applied in the meta-analysis and meta-regression analysis. (Section 3),No,,Yes,"Finally, 205 observations from 52 studies were selected as the research objects (Fig. 1) (Section 3.1.1)",Yes,"Finally, 205 observations from 52 studies were selected as the research objects (Fig. 1) (Section 3.1.1)

They listed out in the SI as well.",Yes,"The effect size is the pivotal factor for meta-analyses. According to
Doucouliagos (2005) and Stanley et al. (2013), the value of the Fisher Z
transformation (Fisher′s zij) was used as the effect size of the observations
in this study. (Section 3.2.1)",Yes,"As shown in Table 5, I2 is significantly larger than 50 %, and the p-value of Cochran's Q is significant. This reveals that there is significant heterogeneity in the relationship between the urbanisation of different dimensions and PM2.5 concentrations. Thus, the investigation should employ the random effect model. Additionally, the 95 % confidence interval results indicate that the meta-analysis came to a unified conclusion in certain dimensions. That is, the PM2.5 concentrations are positively impacted by the population, economy, land, and comprehensive urbanisation in research on linear associations. (Section 4.2)",Yes,"The effect size is the pivotal factor for meta-analyses. According to Doucouliagos (2005) and Stanley et al. (2013), the value of the Fisher Z transformation (Fisher′s zij) was used as the effect size of the observations in this study. (Section 3.2.1)",Yes,"Totally, there are 120 observations for the dependent variable lr and 152 observations for the dependent variable or because one or more observation values could be derived from each selected paper (Section 4.1)",Yes,"Additionally, the 95 % confidence interval results indicate that the meta-analysis came to a unified conclusion in certain dimensions. That is, the PM2.5 concentrations are positively impacted by the population, economy, land, and comprehensive urbanisation in research on linear associations. (Section 4.2)

The supplementary material includes forest plots that illustrate the overall mean effect sizes for various dimensions of urbanisation",Yes,"As shown in Table 5, I2 is significantly larger than 50 %, and the p-value of Cochran's Q is significant. This reveals that there is significant heterogeneity in the relationship between the urbanisation of different dimensions and PM2.5 concentrations. Thus, the investigation should employ the random effect model. (Section 4.2)",Yes,This study chose the funnel plot to explore whether publication bias is present in existing research. (Section 3.2.2),Yes,"The sensitivity analysis results showed that the impact of urbanisation on PM2.5 concentrations is steady, and the outcomes after removing any estimated value are essentially similar to the initial results (Supplementary Fig. S.9–16). (Section 4.3.2)",Yes,"Finally, 205 observations from 52 studies were selected as the research objects (Fig. 1). Detailed information on the selected literature can be found in the supplementary (Supplementary Table S1). (Section 3.1.1)",Yes,"Research sample characteristics include the research scale, area, and period. Statistics in empirical research – regression coefficient, t-value, p-value, and standard error – are extracted for further research. As urbanisation can be described from different dimensions, this study further classifies data according to the population (pu), economy (eu), land (lu), social (su), ecological (ecu), and comprehensive urbanisation (cu) factors. (Section 3.1.2)",This study conducts a thorough and systematic meta-analysis with sufficient statistical analysis to be involved. Using MATES for this study is easy as it can be searched through keywords and the arrangement of the statistical analysis in this study is easy to follow. ,10:33
Jelaine Gan,s_21,Effects of urbanisation on PM2.5 concentrations: A systematic review and meta-analysis,17:19,No,,,,Yes,,Yes,number of observation is reported,Yes,,Yes,,Yes,,No,,Yes,,Yes,,Yes,,Yes,,No,,,,,17:41
Betina Kozlowsky Suzuki,s_22,Evolution of Tourism Risk Communication: A Bibliometric Analysis and Meta-Analysis of the Antecedents of Communicating Risk to Tourists,0:00,Yes,Stata 17 software,,,Yes,Fig 1,No,,Yes,section 3.2,Yes,Fig 11,Yes,Fig 11,No,,Yes,Fig 11,Yes,Fig 11,Yes,Fig 12,No,,No,,,"The authors provide description of the extracted variables, but do not inform raw data.","The application was straight forward, but the paper is confusing so it took time finding some information. The meta-analysis was carried out on a small set of the studies. The authors provide description of the extracted variables, but do not inform raw data. Appraisal time taken: 34:20 (34 minutes and 20 seconds).",0:00:00
Kyle Morrison,s_22,Evolution of Tourism Risk Communication: A Bibliometric Analysis and Meta-Analysis of the Antecedents of Communicating Risk to Tourists,14:00,Yes,,No,,Yes,,No,,Yes,,Yes,,Yes,,No,,Yes,,Yes,,Yes,,No,,No,,,,,14:12
Brian Gallagher,s_22,Evolution of Tourism Risk Communication: A Bibliometric Analysis and Meta-Analysis of the Antecedents of Communicating Risk to Tourists,14:36,Yes,,No,,No,,No,"Not in main text from what I can find, but ""observations"" are listed in Table 5",No,,No,"Report statistical notation, but does not clarify the specific type of model used",No,"Weights are mentioned, but details are not explicitly provided",No,"Not reported clearly, even though there were clearly repeated measures",Yes,Figure 11,No,,Yes,,No,,No,,,‘No’ for MATES item 13,"It was very challenging to apply MATES criteria to this study, as it was very long (31 pages, 13 Figures, 7 Tables) and organized in a way that I found hard to follow.",15:01
Edward Purssell,s_22,Evolution of Tourism Risk Communication: A Bibliometric Analysis and Meta-Analysis of the Antecedents of Communicating Risk to Tourists,6.36,Yes,Stata 17[72] software,No,"They have given equations, but no code",Yes,Discussed many times in the paper.  PRISMA flow-chart and forest plot,Yes,Tables and forest plot,Yes,Provided actual equations,Yes,Random effects,Yes,Forest plot,No,No evidence that this is a problem in this paper,Yes,Forest plot,Yes,Section 4.2.1 contains an extensive discussion,Yes,Section 4.2.2,Yes,Bayesian model averaging for moderator variables and meta-regression was undertaken,No,"The effect sizes are in the forest plot, but no raw data",Yes,Table 3,The MA was nested inside of a bibiometric analysis,6:56
Shanika Nanayakkara,s_22,Evolution of Tourism Risk Communication: A Bibliometric Analysis and Meta-Analysis of the Antecedents of Communicating Risk to Tourists,16:38,Yes,,Yes,Methodology pg 9,Yes,Figure 1,No,,Yes,,Yes,,No,,No,,Yes,,No,"Forest plot, section 4.2.1",Yes,Section 4.2.2 and fig 12,Yes,,No,,No,,,16:58
Kyle Morrison,s_23,Exposure to atrazine by drinking water and the increased risk of neonatal complications in consequence: a meta-analysis,14:45,Yes,,No,,Yes,,No,,No,,Yes,,No,,No,,Yes,,Yes,,Yes,,Yes,,No,,,,,14:55
Coralie Williams,s_23,Exposure to atrazine by drinking water and the increased risk of neonatal complications in consequence: a meta-analysis,12:23,Yes,"""STATA 14.0 software was applied to conduct all statistical analysis.""",No,,Yes,"""Eventually, five articles with a 113,374 sample size were included in our study. """,No,,No,No reference to formula,Yes,"""A fixed model was applied, as there was no significant heterogeneity, and the Random-effects model was used to evaluate the pooled effect size in case of considerable heterogeneity. "" ",No,,No,,Yes,"Figure 2 and in results ""ORs with their 95% confidence intervals were used as the effect size of each study and were combined to evaluate total risk (Pooled risk estimate: 1.15, 95% CI: 1.07–1.24) (I (Guasch et al. Citation1997) = 73.2%, P heterogeneity = 0.000).""",Yes,"""Heterogeneity of included studies was done by the chi-squared test (I (Guasch et al. Citation1997) >50% was considered to be heterogeneity)."" ",Yes,"""Egger’s test was used to assess publication bias (Egger et al. Citation1997).""",Yes,"""Sensitivity analysis was applied to investigate the effect of each research on the ultimate results (Kakavandi et al. Citation2018).""",No,,,,,12:32
Pietro Pollo,s_23,Exposure to atrazine by drinking water and the increased risk of neonatal complications in consequence: a meta-analysis,15:00,Yes,"Page 1445, section Statiscal analysis: ""STATA 14.0 software was applied to conduct all statistical analysis.""",,click based software,Yes,"Page 4, figure 1.",No,Not found,No,"Mentions that they used odds ration, but no reference or equation is given.",Yes,"Page 3, section Statistical analysis: ""A fixed model was applied, as there was no significant heterogeneity, and the Random-effects model was used to evaluate the pooled effect size in case of considerable heterogeneity.""",No,Not found,No,Not found,Yes,"Page 6, figure 2.",Yes,"Page 6, figure 2",Yes,"Page 7, figure 4",Yes,"Page 7, figure 3.",No,"""The dataset generated and/or analysed in the current study can be obtained from the corresponding authors on a reasonable request.""",,Data not given,,15:09
